StockCode,avg_daily_demand,demand_std,total_units_sold,safety_stock,reorder_point,recommended_order_qty
17091J,5.53,36.13,4086,157.74,196.45,165.87
17096,8.45,248.54,6243,1084.98,1144.11,253.44
17107D,0.45,2.52,336,11.0,14.19,13.64
17108D,0.48,9.3,355,40.59,43.95,14.41
17109A,0.96,85.79,709,374.5,381.21,28.78
17109B,6.15,936.04,4542,4086.26,4129.28,184.38
17109C,4.23,644.36,3124,2812.93,2842.52,126.82
17109D,1.71,73.99,1260,322.99,334.92,51.15
17129C,0.12,20.4,87,89.04,89.87,3.53
17129D,1.52,60.89,1125,265.8,276.46,45.67
17129F,2.14,15.56,1584,67.92,82.93,64.3
17136A,1.08,17.87,795,77.99,85.53,32.27
17164B,2.21,37.52,1632,163.81,179.27,66.25
17164D,1.57,69.67,1159,304.14,315.12,47.05
17165B,1.1,36.58,813,159.69,167.4,33.0
17165D,0.98,14.07,723,61.41,68.26,29.35
17174,0.05,8.45,36,36.91,37.25,1.46
17178,0.18,6.21,133,27.11,28.37,5.4
17181,0.48,11.7,354,51.07,54.42,14.37
17191A,0.04,1.48,33,6.48,6.79,1.34
18007,15.46,542.77,11424,2369.46,2477.67,463.76
18010,0.09,7.11,64,31.06,31.66,2.6
18094C,0.6,4.84,446,21.12,25.34,18.11
18096C,0.17,9.9,123,43.22,44.39,4.99
18097A,0.03,0.63,19,2.76,2.94,0.77
18097C,2.46,24.45,1818,106.73,123.95,73.8
18098C,1.71,8.86,1264,38.69,50.66,51.31
18098c,0.45,2.12,332,9.24,12.39,13.48
20615,0.88,7.91,647,34.54,40.67,26.27
20616,0.39,4.99,287,21.81,24.52,11.65
20617,0.68,19.44,499,84.88,89.6,20.26
20618,0.4,2.56,299,11.2,14.03,12.14
20619,0.78,8.14,580,35.54,41.04,23.55
20620,0.02,0.27,15,1.17,1.31,0.61
20621,0.28,17.02,208,74.29,76.26,8.44
20622,0.8,17.68,590,77.19,82.78,23.95
20652,2.06,47.21,1525,206.09,220.54,61.91
20653,2.71,197.33,2006,861.42,880.42,81.43
20654,0.54,4.33,400,18.92,22.71,16.24
20655,0.57,2.42,421,10.58,14.57,17.09
20657,2.54,111.02,1879,484.65,502.45,76.28
20658,2.2,5.18,1623,22.59,37.97,65.89
20659,0.51,2.91,374,12.68,16.22,15.18
20660,0.1,2.92,73,12.76,13.45,2.96
20661,1.22,37.49,900,163.65,172.18,36.54
20662,0.99,58.35,730,254.74,261.65,29.63
20663,1.46,102.75,1076,448.57,458.76,43.68
20664,0.08,1.07,57,4.66,5.2,2.31
20665,1.85,3.38,1368,14.78,27.73,55.53
20666,1.23,82.0,911,357.95,366.58,36.98
20667,0.05,1.01,40,4.4,4.78,1.62
20668,29.66,105.12,21916,458.91,666.5,889.69
20669,1.12,4.49,824,19.59,27.4,33.45
20670,0.94,60.23,694,262.94,269.52,28.17
20671,1.08,7.52,797,32.84,40.39,32.35
20672,0.19,3.62,138,15.81,17.12,5.6
20674,4.68,10.74,3462,46.86,79.66,140.54
20675,8.89,16.13,6573,70.42,132.68,266.83
20676,14.44,18.62,10674,81.28,182.39,433.32
20677,10.7,18.06,7907,78.84,153.74,320.99
20679,8.47,40.79,6259,178.08,237.37,254.09
20681,1.94,6.0,1436,26.21,39.81,58.29
20682,4.24,7.88,3131,34.4,64.06,127.1
20684,0.79,4.96,585,21.64,27.18,23.75
20685,13.5,15.79,9974,68.93,163.41,404.9
20686,0.82,3.23,605,14.1,19.83,24.56
20688,0.63,125.5,464,547.87,552.27,18.84
20689,0.58,51.63,430,225.38,229.45,17.46
20692,1.23,16.33,912,71.31,79.95,37.02
20693,0.04,1.29,33,5.65,5.96,1.34
20694,0.23,3.41,167,14.88,16.46,6.78
20695,0.19,3.16,143,13.8,15.15,5.81
20696,0.21,2.19,153,9.57,11.02,6.21
20697,0.06,1.42,44,6.21,6.63,1.79
20698,0.06,1.7,47,7.42,7.86,1.91
20699,0.41,2.57,301,11.21,14.06,12.22
20700,0.57,16.83,421,73.46,77.45,17.09
20701,0.48,24.04,353,104.93,108.27,14.33
20702,1.09,3.61,803,15.76,23.37,32.6
20703,0.64,1.95,475,8.53,13.03,19.28
20704,0.49,6.16,361,26.87,30.29,14.65
20705,0.37,7.38,273,32.22,34.81,11.08
20707,2.19,37.22,1616,162.49,177.8,65.6
20711,17.37,33.5,12838,146.23,267.83,521.16
20712,24.3,28.94,17957,126.34,296.43,728.97
20713,28.69,40.22,21199,175.6,376.4,860.58
20714,2.14,105.65,1580,461.22,476.18,64.14
20716,2.08,8.1,1539,35.34,49.92,62.48
20717,8.58,20.27,6342,88.5,148.58,257.46
20718,18.25,24.39,13489,106.47,234.24,547.59
20719,33.76,27.16,24945,118.58,354.87,1012.65
20723,25.01,21.53,18485,94.0,269.09,750.41
20724,43.96,27.27,32487,119.05,426.77,1318.82
20725,55.4,22.24,40942,97.1,484.92,1662.06
20726,30.23,35.57,22341,155.28,366.9,906.94
20727,36.71,32.66,27126,142.57,399.51,1101.19
20728,33.68,35.14,24892,153.42,389.2,1010.5
20729,7.12,381.18,5262,1664.05,1713.9,213.61
20730,3.0,138.2,2218,603.31,624.32,90.04
20731,5.61,318.4,4143,1389.98,1429.23,168.19
20733,2.65,25.61,1961,111.8,130.38,79.61
20734,2.16,41.01,1598,179.03,194.17,64.87
20735,2.09,21.27,1545,92.87,107.5,62.72
20736,0.39,25.21,291,110.04,112.8,11.81
20738,2.18,38.09,1610,166.26,181.51,65.36
20747,0.93,9.27,684,40.46,46.94,27.77
20748,2.17,38.05,1604,166.1,181.29,65.12
20749,4.27,9.25,3156,40.37,70.26,128.12
20750,5.11,6.53,3777,28.49,64.26,153.33
20751,3.98,7.49,2941,32.71,60.57,119.39
20752,2.08,12.3,1536,53.69,68.24,62.35
20753,0.29,4.2,218,18.35,20.41,8.85
20754,6.98,13.87,5159,60.57,109.44,209.43
20755,6.99,381.86,5162,1667.01,1715.9,209.55
20756,7.76,654.69,5734,2858.03,2912.35,232.77
20757,7.27,517.52,5375,2259.21,2310.13,218.2
20758,7.36,479.95,5441,2095.24,2146.78,220.88
20759,7.82,654.61,5782,2857.67,2912.44,234.72
20760,7.52,470.54,5555,2054.15,2106.76,225.51
20761,0.64,8.29,470,36.18,40.63,19.08
20762,0.63,8.81,466,38.44,42.85,18.92
20763,0.36,7.05,269,30.76,33.3,10.92
20764,0.94,8.13,692,35.49,42.04,28.09
20765,0.61,8.29,452,36.2,40.48,18.35
20766,0.71,8.29,525,36.19,41.16,21.31
20767,1.11,10.31,819,45.03,52.79,33.25
20768,1.04,11.72,771,51.17,58.47,31.3
20769,0.6,13.54,442,59.12,63.31,17.94
20770,1.43,11.98,1056,52.28,62.28,42.87
20771,0.85,9.83,629,42.92,48.88,25.53
20772,1.32,13.19,975,57.6,66.83,39.58
20773,4.54,269.54,3357,1176.67,1208.47,136.28
20774,4.73,284.88,3493,1243.63,1276.72,141.8
20775,4.89,309.12,3611,1349.46,1383.67,146.59
20776,4.41,327.54,3259,1429.88,1460.75,132.3
20777,4.96,241.77,3669,1055.46,1090.22,148.94
20778,4.89,346.29,3616,1511.71,1545.96,146.79
20780,0.34,4.41,249,19.23,21.59,10.11
20781,0.15,1.57,110,6.87,7.91,4.47
20782,0.23,1.54,171,6.74,8.36,6.94
20783,0.22,6.03,166,26.34,27.91,6.74
20784,0.14,3.61,101,15.76,16.72,4.1
20785,0.14,2.99,102,13.03,14.0,4.14
20786,0.13,3.9,99,17.01,17.95,4.02
20787,0.09,3.17,69,13.85,14.51,2.8
20793,0.38,50.77,281,221.65,224.31,11.41
20794,0.29,3.74,213,16.31,18.32,8.65
20795,0.18,6.62,135,28.92,30.2,5.48
20796,0.13,4.5,99,19.65,20.59,4.02
20798,0.77,8.95,569,39.09,44.48,23.1
20799,0.27,19.82,200,86.54,88.43,8.12
20800,1.36,442.19,1005,1930.36,1939.88,40.8
20801,1.48,11.86,1096,51.79,62.17,44.49
20802,1.44,11.75,1067,51.3,61.41,43.32
20803,1.58,21.52,1166,93.95,104.99,47.33
20804,0.45,18.12,333,79.11,82.27,13.52
20814,0.26,21.35,189,93.2,94.99,7.67
20816,0.03,1.99,24,8.68,8.91,0.97
20818,0.12,4.76,87,20.77,21.6,3.53
20819,0.31,5.66,229,24.71,26.88,9.3
20820,0.02,0.88,14,3.85,3.98,0.57
20821,0.06,1.65,42,7.21,7.61,1.71
20823,0.35,16.06,261,70.1,72.57,10.6
20825,0.49,105.5,361,460.54,463.96,14.65
20826,0.48,24.85,355,108.48,111.84,14.41
20827,0.23,24.97,173,109.0,110.64,7.02
20828,6.06,19.46,4481,84.96,127.4,181.91
20829,6.56,30.22,4850,131.93,177.87,196.89
20830,0.56,10.55,413,46.07,49.98,16.77
20831,0.65,11.85,480,51.74,56.29,19.49
20832,2.32,14.89,1714,65.01,81.24,69.58
20833,0.07,9.1,52,39.72,40.22,2.11
20835,0.11,4.84,81,21.14,21.91,3.29
20836,0.3,3.14,224,13.71,15.84,9.09
20837,0.22,3.33,165,14.54,16.1,6.7
20838,0.6,6.35,446,27.71,31.94,18.11
20839,0.87,4.51,642,19.67,25.75,26.06
20840,1.2,21.19,886,92.52,100.91,35.97
20845,0.1,4.11,76,17.96,18.68,3.09
20846,1.99,9.44,1471,41.19,55.12,59.72
20847,0.11,2.87,81,12.54,13.3,3.29
20848,0.05,3.02,39,13.18,13.55,1.58
20849,0.91,117.09,674,511.15,517.54,27.36
20850,1.11,144.01,820,628.68,636.44,33.29
20851,0.45,53.18,335,232.14,235.32,13.6
20854,0.63,8.48,462,37.01,41.38,18.76
20855,0.2,3.61,145,15.76,17.14,5.89
20856,0.56,2.83,417,12.34,16.29,16.93
20857,0.35,2.59,258,11.3,13.75,10.47
20860,0.03,1.33,20,5.8,5.99,0.81
20861,0.06,2.5,48,10.93,11.38,1.95
20862,0.44,19.18,325,83.71,86.79,13.19
20863,0.4,14.69,295,64.13,66.92,11.98
20864,0.34,18.88,252,82.42,84.81,10.23
20865,0.34,18.22,251,79.56,81.94,10.19
20866,1.74,19.62,1287,85.66,97.85,52.25
20867,1.54,20.01,1141,87.37,98.18,46.32
20868,1.19,33.64,882,146.87,155.22,35.81
20869,0.72,32.91,530,143.68,148.7,21.52
20870,0.04,6.02,30,26.27,26.55,1.22
20871,1.73,26.51,1276,115.73,127.81,51.8
20877,0.02,2.19,12,9.56,9.68,0.49
20878,1.03,11.71,764,51.1,58.34,31.01
20879,0.09,2.75,69,12.01,12.66,2.8
20886,2.43,10.1,1793,44.08,61.06,72.79
20887,0.02,2.05,18,8.96,9.13,0.73
20888,0.5,54.22,367,236.7,240.17,14.9
20889,0.89,111.05,657,484.79,491.01,26.67
20890,0.82,253.3,605,1105.77,1111.5,24.56
20891,0.93,392.31,684,1712.62,1719.1,27.77
20892,0.14,2.64,106,11.51,12.51,4.3
20893,0.91,19.32,675,84.34,90.73,27.4
20894,0.38,4.13,282,18.04,20.71,11.45
20895,0.02,5.35,16,23.37,23.52,0.65
20896,0.05,2.9,40,12.65,13.03,1.62
20897,0.48,17.12,358,74.74,78.14,14.53
20898,0.44,19.36,327,84.52,87.62,13.27
20899,0.06,3.88,44,16.96,17.37,1.79
20901,0.12,0.77,92,3.35,4.22,3.73
20902,0.29,2.98,212,13.03,15.04,8.61
20903,0.26,4.21,189,18.37,20.16,7.67
20906,0.14,1.75,103,7.66,8.63,4.18
20910,0.15,3.36,110,14.65,15.69,4.47
20913,0.42,31.4,314,137.08,140.06,12.75
20914,25.68,26.57,18979,116.01,295.78,770.46
20931,0.91,7.24,676,31.59,38.0,27.44
20932,0.45,6.13,334,26.76,29.92,13.56
20933,0.68,42.69,505,186.38,191.17,20.5
20934,0.27,3.52,199,15.36,17.24,8.08
20935,0.41,9.56,302,41.73,44.59,12.26
20936,0.46,6.82,342,29.77,33.01,13.88
20940,0.16,7.63,118,33.32,34.43,4.79
20941,1.35,20.76,999,90.62,100.08,40.55
20943,0.52,4.79,384,20.91,24.55,15.59
20950,0.93,9.47,687,41.35,47.86,27.89
20952,0.45,49.05,330,214.13,217.25,13.4
20953,0.04,3.74,33,16.33,16.65,1.34
20956,3.24,19.78,2396,86.34,109.04,97.27
20957,0.17,9.72,126,42.41,43.61,5.12
20958,0.05,3.65,38,15.91,16.27,1.54
20960,2.58,13.89,1908,60.63,78.7,77.46
20961,4.99,16.43,3684,71.75,106.64,149.55
20963,4.93,15.75,3646,68.77,103.3,148.01
20964,0.03,2.16,20,9.43,9.62,0.81
20966,4.28,15.18,3165,66.26,96.24,128.48
20967,1.55,4.39,1144,19.17,30.01,46.44
20968,0.06,1.57,43,6.83,7.24,1.75
20969,4.46,16.04,3294,70.03,101.24,133.72
20970,3.45,6.93,2547,30.24,54.37,103.4
20971,30.62,76.01,22629,331.84,546.19,918.63
20972,28.09,34.68,20761,151.41,348.07,842.8
20973,13.62,45.51,10066,198.65,294.0,408.63
20974,18.28,36.09,13511,157.55,285.53,548.48
20975,25.28,53.24,18685,232.42,409.41,758.53
20976,0.74,10.5,550,45.84,51.05,22.33
20977,5.22,9.56,3856,41.74,78.26,156.54
20978,5.63,11.34,4163,49.51,88.94,169.0
20979,11.12,18.89,8219,82.49,160.34,333.65
20980,0.32,4.77,234,20.83,23.05,9.5
20981,6.47,15.9,4782,69.39,114.69,194.13
20982,6.67,10.13,4928,44.22,90.9,200.05
20983,8.58,13.92,6342,60.77,120.85,257.46
20984,7.99,49.83,5907,217.52,273.47,239.8
20985,3.24,18.46,2395,80.61,103.29,97.23
20986,1.69,14.3,1251,62.41,74.26,50.78
20987,0.18,8.04,131,35.12,36.36,5.32
20988,0.03,1.94,24,8.45,8.68,0.97
20989,0.55,13.6,407,59.37,63.22,16.52
20990,1.21,16.67,895,72.78,81.26,36.33
20991,9.59,1194.9,7084,5216.33,5283.43,287.58
20992,8.42,27.53,6224,120.18,179.14,252.67
20993,14.84,1645.86,10967,7184.97,7288.85,445.21
20994,0.06,2.61,47,11.39,11.84,1.91
20996,8.58,57.81,6343,252.39,312.47,257.5
20997,0.23,1.35,170,5.9,7.51,6.9
20998,0.45,2.17,332,9.49,12.63,13.48
21000,0.94,49.84,696,217.57,224.16,28.25
21001,0.2,1.11,149,4.86,6.27,6.05
21002,0.58,2.55,429,11.14,15.2,17.42
21003,0.15,1.05,109,4.58,5.61,4.42
21004,0.19,1.15,137,5.02,6.32,5.56
21007,2.61,62.44,1927,272.57,290.82,78.23
21009,1.43,12.96,1059,56.57,66.6,42.99
21010,1.16,8.7,856,37.97,46.08,34.75
21011,2.53,17.04,1869,74.38,92.08,75.87
21012,3.2,20.53,2365,89.64,112.04,96.01
21014,2.67,12.64,1975,55.18,73.88,80.18
21015,2.33,12.23,1722,53.4,69.71,69.91
21016,1.13,13.33,836,58.21,66.13,33.94
21017,0.9,22.23,662,97.03,103.3,26.87
21018,0.32,5.03,236,21.96,24.2,9.58
21025,0.42,4.25,314,18.57,21.54,12.75
21026,0.76,5.16,558,22.53,27.82,22.65
21027,0.49,4.39,363,19.18,22.62,14.74
21028,0.44,4.31,324,18.83,21.9,13.15
21030,0.34,4.24,250,18.53,20.9,10.15
21031,0.2,4.36,147,19.02,20.42,5.97
21032,0.29,4.4,216,19.2,21.24,8.77
21033,6.27,24.62,4632,107.46,151.34,188.04
21034,5.74,2.06,4240,8.98,49.14,172.12
21035,8.24,19.68,6091,85.93,143.63,247.27
21038,0.23,2.27,170,9.9,11.51,6.9
21039,1.78,8.09,1319,35.34,47.83,53.55
21040,1.21,37.29,895,162.77,171.25,36.33
21041,3.7,12.08,2732,52.75,78.63,110.91
21042,2.04,8.24,1505,35.98,50.24,61.1
21043,0.92,8.09,679,35.3,41.73,27.56
21051,1.03,8.39,760,36.61,43.81,30.85
21054,0.53,2.36,394,10.3,14.04,15.99
21055,0.55,1.4,407,6.11,9.97,16.52
21056,0.76,5.69,559,24.84,30.14,22.69
21058,3.28,15.89,2422,69.39,92.33,98.32
21059,2.19,10.56,1621,46.1,61.46,65.81
21060,1.74,23.61,1288,103.09,115.29,52.29
21061,1.94,22.98,1433,100.31,113.88,58.17
21062,1.46,6.78,1078,29.59,39.8,43.76
21063,2.02,10.21,1492,44.59,58.72,60.57
21064,1.23,29.46,909,128.59,137.2,36.9
21065,0.83,13.44,613,58.68,64.48,24.88
21066,3.1,47.21,2293,206.07,227.79,93.09
21067,6.5,62.17,4800,271.41,316.88,194.86
21068,5.95,48.09,4398,209.92,251.58,178.54
21069,6.98,82.16,5157,358.67,407.52,209.35
21070,2.79,30.95,2063,135.13,154.67,83.75
21071,6.06,36.81,4475,160.7,203.09,181.66
21076,1.14,21.75,844,94.95,102.95,34.26
21077,3.78,35.56,2793,155.26,181.71,113.38
21078,9.8,17.58,7242,76.74,145.33,293.99
21080,43.06,31.85,31823,139.03,440.47,1291.87
21082,9.73,334.74,7187,1461.29,1529.37,291.76
21084,3.96,20.45,2929,89.28,117.02,118.9
21085,18.58,1533.04,13732,6692.45,6822.52,557.46
21086,22.87,45.98,16903,200.72,360.83,686.18
21087,0.35,7.47,260,32.61,35.07,10.55
21088,22.48,856.69,16615,3739.85,3897.23,674.49
21089,0.44,5.82,325,25.42,28.5,13.19
21090,4.22,21.48,3119,93.77,123.32,126.62
21091,18.54,1868.83,13700,8158.36,8288.13,556.16
21092,17.38,2356.04,12846,10285.26,10406.94,521.49
21094,27.28,41.85,20161,182.71,373.68,818.44
21095,0.41,6.28,303,27.43,30.3,12.3
21096,21.55,822.03,15924,3588.57,3739.41,646.44
21097,0.04,3.6,33,15.73,16.04,1.34
21098,12.23,53.59,9038,233.95,319.56,366.9
21099,18.12,2158.07,13388,9421.04,9547.86,543.49
21100,3.45,22.81,2553,99.56,123.74,103.64
21102,0.11,3.37,82,14.71,15.49,3.33
21106,1.08,5.3,801,23.13,30.71,32.52
21107,3.33,18.07,2463,78.86,102.19,99.99
21108,17.73,174.79,13105,763.04,887.17,532.0
21109,1.6,10.97,1185,47.9,59.13,48.11
21110,2.24,8.8,1652,38.4,54.05,67.06
21111,1.91,10.11,1409,44.13,57.48,57.2
21112,3.02,30.58,2234,133.48,154.64,90.69
21114,7.83,14.38,5783,62.76,117.54,234.76
21115,1.71,7.27,1262,31.74,43.69,51.23
21116,1.88,4.37,1386,19.09,32.21,56.27
21117,0.45,17.22,334,75.17,78.33,13.56
21118,0.09,6.49,69,28.34,28.99,2.8
21121,21.22,39.03,15678,170.38,318.88,636.45
21122,17.24,32.51,12741,141.91,262.6,517.23
21123,3.77,12.61,2785,55.04,81.42,113.06
21124,13.66,31.16,10093,136.04,231.64,409.73
21125,2.94,19.6,2169,85.56,106.11,88.05
21126,3.17,26.01,2343,113.54,135.73,95.12
21127,0.4,24.6,298,107.4,110.22,12.1
21128,0.17,2.64,129,11.54,12.76,5.24
21129,0.17,1.85,127,8.08,9.28,5.16
21130,0.98,67.37,722,294.11,300.94,29.31
21131,0.37,17.37,276,75.82,78.43,11.2
21132,0.13,1.93,98,8.41,9.33,3.98
21133,0.57,7.74,424,33.79,37.81,17.21
21134,0.51,8.88,379,38.75,42.34,15.39
21135,8.23,34.79,6080,151.88,209.47,246.82
21136,14.41,21.42,10652,93.49,194.39,432.42
21137,27.0,77.59,19954,338.73,527.74,810.04
21143,3.05,13.45,2255,58.7,80.06,91.54
21144,0.74,11.27,545,49.19,54.35,22.12
21145,1.18,27.44,869,119.8,128.03,35.28
21146,1.08,17.12,801,74.74,82.33,32.52
21147,0.67,5.12,494,22.35,27.02,20.05
21153,0.53,4.52,393,19.75,23.47,15.95
21154,11.37,23.97,8402,104.64,184.22,341.08
21155,9.11,18.04,6734,78.75,142.53,273.37
21156,12.72,29.68,9399,129.55,218.58,381.56
21157,0.97,3.4,714,14.83,21.59,28.99
21158,3.54,22.7,2613,99.1,123.85,106.08
21159,2.87,25.6,2118,111.74,131.8,85.98
21160,1.08,39.77,795,173.64,181.17,32.27
21161,3.23,68.09,2385,297.24,319.83,96.82
21162,3.26,23.97,2407,104.66,127.46,97.71
21163,3.83,44.82,2829,195.67,222.47,114.84
